epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.34732,1.83755,9.01849,0.01547,0,0,0,0,1.86572,10.4942,0.01975,0,0,0
2,4.40612,1.74049,7.99582,0.01319,0,0,0,0,1.83803,10.4595,0.01942,1.9802e-05,1.9802e-05,1.9802e-05
3,6.40993,1.78759,6.66228,0.01325,0,0,0,0,1.79491,10.4047,0.01899,3.9208e-05,3.9208e-05,3.9208e-05
4,8.45619,2.05068,7.42556,0.01331,0,0,0,0,1.68634,10.2568,0.01916,5.8218e-05,5.8218e-05,5.8218e-05
5,10.6328,1.32158,8.14669,0.01369,0,0,0,0,1.52539,10.0488,0.01713,7.6832e-05,7.6832e-05,7.6832e-05
6,12.6646,1.46173,7.43329,0.01469,0.00111,0.33333,0.00054,9e-05,1.41411,9.91287,0.01554,9.505e-05,9.505e-05,9.505e-05
7,14.615,1.82384,6.83843,0.01333,0.00222,0.66667,0.00148,0.0004,1.26339,9.72489,0.01293,0.000112872,0.000112872,0.000112872
8,16.6222,1.65584,8.13307,0.01506,0.00333,1,0.00333,0.00125,1.34228,9.56421,0.01575,0.000130298,0.000130298,0.000130298
9,18.7755,1.40044,5.89367,0.01116,0.00333,1,0.00335,0.00141,1.31759,9.51974,0.01498,0.000147328,0.000147328,0.000147328
10,21.4103,1.52561,9.94611,0.01421,0.00333,1,0.00337,0.00155,1.47841,9.70826,0.01615,0.000163962,0.000163962,0.000163962
11,24.0829,1.37179,7.14173,0.01279,0.00333,1,0.00337,0.00176,1.12643,9.58806,0.01103,0.0001802,0.0001802,0.0001802
12,26.1943,1.41241,6.86454,0.01092,0.00333,1,0.00417,0.00246,1.118,9.58792,0.01127,0.000196042,0.000196042,0.000196042
13,28.2673,1.58632,7.99365,0.01277,0.00333,1,0.00879,0.00582,1.06467,9.51856,0.01075,0.000211488,0.000211488,0.000211488
14,30.3579,1.13332,5.86029,0.01047,0.00333,1,0.03945,0.03101,1.31563,9.46866,0.01275,0.000226538,0.000226538,0.000226538
15,32.3211,1.57901,8.39116,0.01668,0.00333,1,0.16973,0.12972,1.25413,9.40703,0.01338,0.000241192,0.000241192,0.000241192
16,34.2702,1.01627,6.5004,0.00804,0.00333,1,0.33723,0.2693,1.13917,9.26682,0.01178,0.00025545,0.00025545,0.00025545
17,36.2999,1.19445,6.25985,0.00973,0.00333,1,0.33723,0.23672,1.12983,9.24056,0.01148,0.000269312,0.000269312,0.000269312
18,38.3028,1.03549,5.65042,0.00809,0.00333,1,0.33723,0.23672,1.12983,9.24056,0.01148,0.000282778,0.000282778,0.000282778
19,40.2166,1.354,7.40255,0.01305,0.00333,1,0.33723,0.2367,0.99375,9.07052,0.01037,0.000295848,0.000295848,0.000295848
20,42.1496,1.34358,5.87754,0.00961,0.00333,1,0.33723,0.2367,0.99375,9.07052,0.01037,0.000308522,0.000308522,0.000308522
21,44.1419,0.96976,5.71587,0.00741,0.00333,1,0.33723,0.20754,1.01204,9.06085,0.01039,0.0003208,0.0003208,0.0003208
22,46.0116,0.86707,6.27696,0.00751,0.00333,1,0.33723,0.20754,1.01204,9.06085,0.01039,0.000332682,0.000332682,0.000332682
23,48.0872,0.68494,7.90522,0.0065,0.00333,1,0.33723,0.2138,0.73021,8.77787,0.00773,0.000344168,0.000344168,0.000344168
24,50.0152,1.20157,6.62454,0.01079,0.00333,1,0.33723,0.2138,0.73021,8.77787,0.00773,0.000355258,0.000355258,0.000355258
25,51.9848,1.30231,5.81498,0.01035,0.00333,1,0.44612,0.27486,0.76835,8.74592,0.00849,0.000365952,0.000365952,0.000365952
26,53.8932,1.05725,4.83571,0.00683,0.00333,1,0.44612,0.27486,0.76835,8.74592,0.00849,0.00037625,0.00037625,0.00037625
27,55.947,1.108,5.91727,0.00932,0.00333,1,0.46812,0.32537,0.88969,8.60044,0.01005,0.000386152,0.000386152,0.000386152
28,58.0109,1.41305,6.41424,0.01211,0.00333,1,0.46812,0.32537,0.88969,8.60044,0.01005,0.000395658,0.000395658,0.000395658
29,60.068,1.04478,5.35051,0.0091,0.00333,1,0.46812,0.4058,0.77327,8.39608,0.00864,0.000404768,0.000404768,0.000404768
30,62.0237,1.13473,6.29413,0.01013,0.00333,1,0.46812,0.4058,0.77327,8.39608,0.00864,0.000413482,0.000413482,0.000413482
31,64.0121,1.29598,8.22282,0.01277,0.00333,1,0.46812,0.3472,0.81361,8.54191,0.01022,0.0004218,0.0004218,0.0004218
32,65.9046,1.18303,5.91056,0.01032,0.00333,1,0.46812,0.3472,0.81361,8.54191,0.01022,0.000429722,0.000429722,0.000429722
33,67.9711,1.15881,5.02977,0.00929,0.00333,1,0.50825,0.29971,0.97017,8.63143,0.012,0.000437248,0.000437248,0.000437248
34,69.8017,1.2159,4.81772,0.00871,0.00333,1,0.50825,0.29971,0.97017,8.63143,0.012,0.000444378,0.000444378,0.000444378
35,71.7108,1.13445,6.04822,0.01054,0.00333,1,0.50508,0.30293,1.14393,8.71833,0.01323,0.000451112,0.000451112,0.000451112
36,73.621,1.13375,6.21522,0.00923,0.00333,1,0.50508,0.30293,1.14393,8.71833,0.01323,0.00045745,0.00045745,0.00045745
37,75.7947,0.8626,5.37891,0.00865,0.00333,1,0.48625,0.32898,1.11966,8.76658,0.01288,0.000463392,0.000463392,0.000463392
38,77.7205,1.11664,6.61817,0.00987,0.00333,1,0.48625,0.32898,1.11966,8.76658,0.01288,0.000468938,0.000468938,0.000468938
39,79.6989,1.10421,5.17408,0.00999,0.00333,1,0.51004,0.35784,1.11372,8.65122,0.01195,0.000474088,0.000474088,0.000474088
40,81.5447,0.9105,5.83756,0.00706,0.00333,1,0.51004,0.35784,1.11372,8.65122,0.01195,0.000478842,0.000478842,0.000478842
41,83.6593,1.1889,5.21359,0.00897,0.00333,1,0.51004,0.35643,1.22379,8.57304,0.01367,0.0004832,0.0004832,0.0004832
42,85.5861,1.15627,5.31185,0.01027,0.00333,1,0.51004,0.35643,1.22379,8.57304,0.01367,0.000487162,0.000487162,0.000487162
43,87.5419,1.24426,5.03513,0.01066,0.00333,1,0.48804,0.31421,1.16126,8.5902,0.01436,0.000490728,0.000490728,0.000490728
44,89.5459,1.07122,4.95233,0.00798,0.00333,1,0.48804,0.31421,1.16126,8.5902,0.01436,0.000493898,0.000493898,0.000493898
45,91.6962,1.11334,4.2223,0.00784,0.00333,1,0.4945,0.33697,1.1814,8.57538,0.01432,0.000496672,0.000496672,0.000496672
46,93.7761,1.06493,4.1089,0.00847,0.00333,1,0.4945,0.33697,1.1814,8.57538,0.01432,0.00049905,0.00049905,0.00049905
47,95.9171,1.00441,6.87577,0.00857,0.00333,1,0.4945,0.33331,0.99873,8.52692,0.0109,0.000501032,0.000501032,0.000501032
48,98.3941,1.11326,6.56262,0.01086,0.00333,1,0.4945,0.33331,0.99873,8.52692,0.0109,0.000502618,0.000502618,0.000502618
49,104.269,1.16581,4.49078,0.01024,0.00333,1,0.49,0.30637,1.2994,8.52666,0.01521,0.000503808,0.000503808,0.000503808
50,106.772,1.10042,5.11803,0.00994,0.00333,1,0.49,0.30637,1.2994,8.52666,0.01521,0.000504602,0.000504602,0.000504602
51,109.022,0.99336,6.19215,0.0093,0.00333,1,0.535,0.31299,1.31956,8.5237,0.01354,0.000505,0.000505,0.000505
52,111.204,1.23913,4.96474,0.01011,0.00333,1,0.535,0.31299,1.31956,8.5237,0.01354,0.000505002,0.000505002,0.000505002
53,113.443,0.95623,4.50057,0.00864,0.00333,1,0.535,0.31299,1.31956,8.5237,0.01354,0.000504608,0.000504608,0.000504608
54,115.661,0.9434,4.30376,0.00872,0.00333,1,0.5825,0.34092,1.0685,8.42264,0.01196,0.000503818,0.000503818,0.000503818
55,117.92,1.07505,3.99936,0.00843,0.00333,1,0.5825,0.34092,1.0685,8.42264,0.01196,0.000502632,0.000502632,0.000502632
56,120.138,1.01417,4.81471,0.00777,0.00333,1,0.5825,0.34092,1.0685,8.42264,0.01196,0.00050105,0.00050105,0.00050105
57,122.262,1.34172,5.98032,0.01136,0.00333,1,0.555,0.33758,1.31223,8.42592,0.01489,0.000499072,0.000499072,0.000499072
58,124.36,1.09532,5.2289,0.01007,0.00333,1,0.555,0.33758,1.31223,8.42592,0.01489,0.000496698,0.000496698,0.000496698
59,126.647,1.03246,4.00449,0.00816,0.00333,1,0.555,0.33758,1.31223,8.42592,0.01489,0.000493928,0.000493928,0.000493928
60,128.875,0.97645,4.55866,0.00807,0.26581,0.33333,0.566,0.34524,1.47381,8.22064,0.01858,0.000490762,0.000490762,0.000490762
61,131.127,1.04136,4.2687,0.00668,0.26581,0.33333,0.566,0.34524,1.47381,8.22064,0.01858,0.0004872,0.0004872,0.0004872
62,133.794,1.06509,4.39437,0.00861,0.26581,0.33333,0.566,0.34524,1.47381,8.22064,0.01858,0.000483242,0.000483242,0.000483242
63,136.504,1.23377,4.47857,0.00872,0.41168,0.33333,0.62375,0.40402,1.36254,7.97457,0.01774,0.000478888,0.000478888,0.000478888
64,139.102,0.90463,7.0892,0.0081,0.41168,0.33333,0.62375,0.40402,1.36254,7.97457,0.01774,0.000474138,0.000474138,0.000474138
65,141.198,0.853,4.70184,0.00765,0.41168,0.33333,0.62375,0.40402,1.36254,7.97457,0.01774,0.000468992,0.000468992,0.000468992
66,143.103,1.01875,5.16435,0.01084,0.61184,0.55701,0.72,0.48929,1.0399,7.82385,0.01258,0.00046345,0.00046345,0.00046345
67,145.147,1.16039,4.84264,0.00923,0.61184,0.55701,0.72,0.48929,1.0399,7.82385,0.01258,0.000457512,0.000457512,0.000457512
68,147.152,1.33609,3.8855,0.01026,0.61184,0.55701,0.72,0.48929,1.0399,7.82385,0.01258,0.000451178,0.000451178,0.000451178
69,149.199,1.15315,6.13114,0.01075,0.63625,0.66667,0.753,0.53257,1.05043,7.59865,0.01175,0.000444448,0.000444448,0.000444448
70,151.094,0.9977,3.61872,0.00641,0.63625,0.66667,0.753,0.53257,1.05043,7.59865,0.01175,0.000437322,0.000437322,0.000437322
71,152.993,0.87059,4.01833,0.00821,0.63625,0.66667,0.753,0.53257,1.05043,7.59865,0.01175,0.0004298,0.0004298,0.0004298
72,155.15,0.88935,4.21706,0.0074,0.49092,1,0.753,0.5613,1.14673,7.39522,0.0121,0.000421882,0.000421882,0.000421882
73,157.128,0.96978,4.13301,0.00744,0.49092,1,0.753,0.5613,1.14673,7.39522,0.0121,0.000413568,0.000413568,0.000413568
74,159.191,1.04737,3.78159,0.00782,0.49092,1,0.753,0.5613,1.14673,7.39522,0.0121,0.000404858,0.000404858,0.000404858
75,161.16,1.06997,4.81579,0.00875,0.18308,1,0.863,0.53091,1.10462,7.26527,0.01095,0.000395752,0.000395752,0.000395752
76,163.084,1.21995,4.5302,0.00911,0.18308,1,0.863,0.53091,1.10462,7.26527,0.01095,0.00038625,0.00038625,0.00038625
77,165.186,1.16259,4.97684,0.0111,0.18308,1,0.863,0.53091,1.10462,7.26527,0.01095,0.000376352,0.000376352,0.000376352
78,167.709,1.04054,4.91713,0.00897,0.43133,1,0.753,0.51456,1.03083,7.16032,0.01055,0.000366058,0.000366058,0.000366058
79,170.125,0.86052,3.59197,0.00645,0.43133,1,0.753,0.51456,1.03083,7.16032,0.01055,0.000355368,0.000355368,0.000355368
80,172.45,1.00625,3.60681,0.00867,0.43133,1,0.753,0.51456,1.03083,7.16032,0.01055,0.000344282,0.000344282,0.000344282
81,175.006,1.04475,4.48555,0.00753,0.44802,1,0.83,0.55953,1.06037,7.07019,0.01084,0.0003328,0.0003328,0.0003328
82,177.036,0.88181,3.90573,0.00636,0.44802,1,0.83,0.55953,1.06037,7.07019,0.01084,0.000320922,0.000320922,0.000320922
83,179.148,1.17647,5.26451,0.01157,0.44802,1,0.83,0.55953,1.06037,7.07019,0.01084,0.000308648,0.000308648,0.000308648
84,181.894,0.93824,3.12126,0.00631,0.45418,1,0.83,0.56535,1.1142,6.98095,0.01158,0.000295978,0.000295978,0.000295978
85,184.258,0.8265,3.90089,0.00661,0.45418,1,0.83,0.56535,1.1142,6.98095,0.01158,0.000282912,0.000282912,0.000282912
86,186.695,1.09104,5.114,0.01032,0.45418,1,0.83,0.56535,1.1142,6.98095,0.01158,0.00026945,0.00026945,0.00026945
87,189.092,1.04612,4.19552,0.00903,0.45418,1,0.83,0.56535,1.1142,6.98095,0.01158,0.000255592,0.000255592,0.000255592
88,191.585,0.79989,5.30784,0.01011,0.4835,1,0.753,0.54082,1.21638,6.89444,0.01296,0.000241338,0.000241338,0.000241338
89,193.985,1.03317,4.70882,0.008,0.4835,1,0.753,0.54082,1.21638,6.89444,0.01296,0.000226688,0.000226688,0.000226688
90,196.32,1.14867,4.20809,0.00853,0.4835,1,0.753,0.54082,1.21638,6.89444,0.01296,0.000211642,0.000211642,0.000211642
91,198.748,0.9514,7.1858,0.01031,0.4835,1,0.753,0.54082,1.21638,6.89444,0.01296,0.0001962,0.0001962,0.0001962
92,201.262,0.81766,6.99106,0.00807,0.54898,0.82994,0.753,0.49341,1.27718,6.80745,0.01409,0.000180362,0.000180362,0.000180362
93,203.678,1.07029,7.23094,0.01049,0.54898,0.82994,0.753,0.49341,1.27718,6.80745,0.01409,0.000164128,0.000164128,0.000164128
94,206.103,0.83458,7.02145,0.0082,0.54898,0.82994,0.753,0.49341,1.27718,6.80745,0.01409,0.000147498,0.000147498,0.000147498
95,209.217,1.00483,6.98238,0.01037,0.54898,0.82994,0.753,0.49341,1.27718,6.80745,0.01409,0.000130472,0.000130472,0.000130472
96,214.994,0.88983,7.18112,0.00843,0.54959,0.83196,0.753,0.52651,1.25805,6.64873,0.01396,0.00011305,0.00011305,0.00011305
97,220.535,0.87492,6.98698,0.00823,0.54959,0.83196,0.753,0.52651,1.25805,6.64873,0.01396,9.5232e-05,9.5232e-05,9.5232e-05
98,225.998,0.84057,6.88837,0.00903,0.54959,0.83196,0.753,0.52651,1.25805,6.64873,0.01396,7.7018e-05,7.7018e-05,7.7018e-05
99,231.346,0.71373,6.98606,0.00742,0.54959,0.83196,0.753,0.52651,1.25805,6.64873,0.01396,5.8408e-05,5.8408e-05,5.8408e-05
100,233.315,0.95141,7.21492,0.00872,0.53234,0.77447,0.753,0.52711,1.26151,6.52052,0.01319,3.9402e-05,3.9402e-05,3.9402e-05
